rainfall_mm,temperature_C,soil_moisture,evapotranspiration_mm,API,runoff_mm
23.937,33.973,0.246,2.704,0.0,5.668
14.945,28.474,0.367,1.012,23.937,8.922
13.823,19.696,0.164,3.141,31.7,0.706
13.823,7.596,0.02,2.345,36.013,0.0
46.497,20.649,0.206,2.844,39.032,5.903
28.667,31.028,0.163,2.116,73.82,3.664
11.311,26.716,0.022,4.154,80.341,0.0
24.698,31.619,0.278,2.909,67.549,2.341
19.99,19.341,0.271,0.72,71.983,6.098
2.159,16.803,0.364,0.716,70.377,4.906
6.712,27.313,0.138,2.301,51.423,0.0
21.062,26.2,0.09,2.67,42.709,0.794
43.652,26.528,0.209,2.491,50.958,12.461
13.919,29.665,0.241,1.554,79.322,1.632
10.58,27.108,0.342,3.924,69.444,0.0
18.14,27.028,0.391,2.552,59.191,4.292
10.053,28.575,0.371,2.144,59.574,2.792
13.177,27.512,0.278,3.862,51.755,0.0
16.493,29.287,0.33,1.745,49.406,5.148
6.401,30.043,0.186,1.375,51.077,3.872
29.701,32.658,0.267,4.538,42.155,2.101
5.352,21.754,0.131,4.067,59.209,0.128
4.728,27.403,0.256,2.278,46.798,2.259
19.34,23.148,0.259,2.269,37.487,4.519
28.134,20.832,0.422,0.937,45.58,9.996
18.978,21.552,0.227,2.161,60.04,5.001
15.218,27.475,0.259,2.272,61.006,2.364
13.074,27.091,0.274,2.607,57.922,7.178
11.399,27.002,0.205,3.109,53.619,5.119
34.378,23.871,0.17,1.289,48.933,9.632
21.21,25.017,0.38,2.14,68.631,9.766
12.173,29.089,0.152,1.105,69.252,0.0
9.366,17.553,0.117,1.4,60.65,3.992
25.876,25.123,0.318,2.419,51.821,8.639
33.834,25.45,0.366,2.774,62.151,4.994
31.812,28.767,0.205,3.116,77.34,5.546
8.01,18.249,0.206,2.729,85.95,2.825
12.985,32.476,0.278,1.708,68.176,8.258
11.214,26.068,0.179,1.121,60.708,4.777
14.383,26.333,0.172,3.162,53.71,0.588
29.511,22.993,0.338,0.26,51.98,13.551
41.023,27.69,0.311,2.952,65.897,9.598
21.785,25.24,0.381,1.344,87.15,7.637
9.648,31.045,0.125,4.677,82.79,0.046
16.208,17.793,0.2,2.03,67.602,0.253
46.125,25.878,0.278,2.369,63.529,9.756
17.816,27.043,0.157,3.932,90.596,4.207
13.097,24.068,0.314,1.343,81.233,4.538
13.989,22.977,0.372,1.424,69.96,7.183
21.715,23.185,0.192,1.057,62.961,3.24
8.256,25.873,0.254,1.722,65.788,2.839
10.992,15.95,0.396,1.656,54.308,6.116
31.498,29.825,0.43,3.476,49.007,10.154
21.281,22.599,0.325,3.221,65.803,2.402
17.952,25.639,0.309,0.739,67.343,5.626
32.56,26.836,0.165,2.512,65.092,10.451
9.147,22.371,0.286,1.129,78.124,3.133
12.784,24.345,0.306,2.229,63.834,4.729
20.789,14.824,0.229,3.817,57.468,4.2
20.269,28.661,0.191,3.158,61.017,7.883
4.258,30.4,0.122,3.939,62.981,2.588
11.805,16.495,0.076,3.61,48.345,2.593
14.67,22.968,0.055,3.424,45.646,0.0
22.446,18.851,0.308,1.437,46.622,7.951
20.218,24.111,0.265,1.135,55.082,7.593
15.724,28.243,0.202,2.794,58.775,2.048
2.141,29.937,0.217,2.426,56.866,0.0
16.327,30.609,0.271,1.536,41.947,9.185
17.456,31.553,0.234,3.396,45.69,3.32
72.98,23.888,0.116,2.655,49.439,17.101
14.305,19.265,0.341,3.696,107.588,7.717
20.871,24.427,0.28,2.081,89.616,7.579
36.202,28.166,0.277,3.097,83.602,9.964
28.381,18.864,0.334,1.221,94.723,5.824
42.128,33.301,0.169,4.203,94.687,7.914
4.329,29.489,0.371,2.824,108.409,5.749
6.871,23.967,0.236,1.224,80.215,4.602
10.373,21.446,0.339,2.131,63.021,4.994
3.593,21.654,0.323,2.556,54.488,5.169
17.568,25.371,0.146,2.792,41.735,2.65
7.392,23.853,0.3,3.431,46.782,1.129
45.752,29.753,0.283,1.527,40.139,11.336
8.462,23.285,0.253,1.486,73.849,5.263
12.845,27.528,0.241,3.393,60.157,0.0
29.53,24.855,0.241,1.76,54.955,8.151
5.291,26.348,0.331,2.875,67.998,4.197
3.336,23.85,0.308,0.0,52.89,2.127
19.166,28.539,0.253,5.57,40.359,6.283
20.252,28.613,0.101,2.592,47.417,4.575
28.935,27.3,0.299,3.924,53.444,12.789
24.354,28.038,0.322,2.467,66.345,5.806
20.802,20.278,0.48,2.443,70.795,11.544
9.339,26.616,0.358,4.154,70.359,1.481
19.848,31.246,0.06,4.29,58.59,0.0
20.744,27.457,0.258,2.541,60.862,0.913
9.041,19.846,0.431,1.849,63.347,6.69
54.221,24.751,0.312,3.479,53.384,12.876
23.563,26.875,0.283,5.021,91.589,4.745
6.985,21.213,0.34,2.314,87.675,0.028
29.033,18.209,0.188,3.778,68.357,3.852
32.454,23.42,0.298,2.101,76.883,9.17
22.584,21.296,0.225,3.082,86.272,7.655
13.695,24.929,0.248,3.594,82.974,3.949
8.707,17.043,0.333,1.294,71.777,5.252
15.691,27.824,0.157,2.035,58.951,2.732
21.47,21.827,0.379,3.328,56.957,11.803
16.835,29.979,0.208,2.466,61.34,2.002
43.355,23.616,0.276,1.467,59.773,8.843
26.119,24.873,0.11,1.803,85.196,3.775
7.869,24.135,0.322,1.878,85.757,5.361
6.312,21.559,0.395,3.013,67.899,1.298
23.704,37.361,0.199,4.251,53.841,4.869
13.945,22.521,0.139,2.968,61.392,2.98
27.688,30.118,0.278,3.433,56.92,5.303
23.553,19.532,0.395,1.359,67.532,10.252
15.744,26.861,0.105,3.383,70.825,0.001
7.951,27.394,0.139,3.922,65.322,0.0
3.762,24.879,0.205,3.072,53.676,0.949
19.586,22.145,0.168,2.664,41.335,0.0
5.203,23.683,0.168,1.601,48.521,0.0
7.662,22.984,0.041,2.51,39.167,1.475
18.731,37.01,0.309,2.881,35.079,8.323
17.429,24.887,0.284,2.465,43.286,4.371
5.837,27.624,0.08,1.122,47.73,0.0
34.923,33.908,0.396,1.758,39.248,13.953
